,article_name,country,revision_id,article_quality,population
215,Tracy Mutinhiri,Zimbabwe,769876632,Stub,17354000
216,Kayisa Ndiweni,Zimbabwe,771958995,Stub,17354000
217,Enoch Dumbutshena,Zimbabwe,774026217,Stub,17354000
218,Hubert Nyanhongo,Zimbabwe,774061307,Stub,17354000
219,Cecil Dennistoun Burney,Zimbabwe,774837666,Stub,17354000
220,James Chikerema,Zimbabwe,775935799,C,17354000
221,Victoria Chitepo,Zimbabwe,776389556,Start,17354000
222,Joel Gabuza,Zimbabwe,776840034,Stub,17354000
223,Trudy Stevenson,Zimbabwe,776943338,Start,17354000
224,Joram Gumbo,Zimbabwe,777424335,Stub,17354000
225,Joseph Chinotimba,Zimbabwe,777482252,C,17354000
226,Nkululeko Sibanda,Zimbabwe,777623864,Start,17354000
227,Janet Banana,Zimbabwe,777849777,Stub,17354000
228,Lazarus Dokora,Zimbabwe,780062778,Stub,17354000
229,Mark Partridge,Zimbabwe,780260926,Stub,17354000
230,Prime Minister of Rhodesia,Zimbabwe,782602484,Start,17354000
231,Lutho Tapela,Zimbabwe,782607746,Stub,17354000
232,Leo Cardwell Ross,Zimbabwe,783150296,Start,17354000
233,Josiah Gondo,Zimbabwe,783150589,Start,17354000
234,Moven Mahachi,Zimbabwe,783298283,Start,17354000
235,Dunduzu Chisiza,Zimbabwe,783301534,Start,17354000
236,Margaret Dongo,Zimbabwe,783419906,Start,17354000
237,Sekai Holland,Zimbabwe,783637102,C,17354000
238,George Chiweshe,Zimbabwe,783919896,Start,17354000
239,Josiah Mushore Chinamano,Zimbabwe,784396785,Stub,17354000
240,Allan Ross Welsh,Zimbabwe,784562559,C,17354000
241,Michael Bimha,Zimbabwe,784668448,Stub,17354000
242,John Moore Caldicott,Zimbabwe,784757829,Start,17354000
243,John Ralph Beaumont,Zimbabwe,784758963,Start,17354000
244,Leonard Ray Morgan,Zimbabwe,784769027,Start,17354000
245,Raleigh Grey,Zimbabwe,784826325,Start,17354000
246,Robert Clarkson Tredgold,Zimbabwe,784830601,Start,17354000
247,Robert James Hudson,Zimbabwe,784831407,C,17354000
